record_id,author_year,outcome_dim,minority_group,registry_family,coverage_tier,period,provenance,irr,irr_ci_lo,irr_ci_hi,cluster,main_analysis,representative_reason
SEER-EXPL,SEER22_Explorer_2019-2023,aggregate-vs-NHW,Black,SEER-national,6,2019-2023,computed-from-rates-with-CI,0.937,0.929,0.945,aggregate-vs-NHW | Black | national,no (registry-direct anchor),"SEER-Explorer reference, not a screened study"
100,Liu2012_LACounty,aggregate-vs-NHW,Black,California-CCR: LA County,2,2007,directly-reported-rate,0.859,,,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
12,Zhang2025_USCS_female,aggregate-vs-NHW,Black,Other/unspecified,1,2017-2021,directly-reported-IRR,0.93,0.92,0.94,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
2406,Sung2020_USCS50,aggregate-vs-NHW,Black (women),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,0.98,0.97,0.98,aggregate-vs-NHW | Black (women) | national,yes (representative),sole estimate in cell
169,Ellington2022_USCS,aggregate-vs-NHW,Hispanic,USCS(NPCR+SEER ~99%),9,2018,computed-from-rates-Poisson-SE,0.718,0.707,0.731,aggregate-vs-NHW | Hispanic | national,yes (representative),best of 7 in cell by provenance/coverage/period
2131,Xie2022_USCS,aggregate-vs-NHW,Hispanic,USCS(NPCR+SEER ~99%),9,1999-2017,computed-from-rates-with-CI,0.710,0.707,0.713,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,aggregate-vs-NHW,Hispanic,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.746,0.74,0.751,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
66,Hendrick2021_SEER9,aggregate-vs-NHW,Hispanic,SEER-national,6,2013-2017,directly-reported-IRR,0.75,0.73,0.76,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
SEER-EXPL,SEER22_Explorer_2019-2023,aggregate-vs-NHW,Hispanic,SEER-national,6,2019-2023,computed-from-rates-with-CI,0.763,0.757,0.769,aggregate-vs-NHW | Hispanic | national,no (registry-direct anchor),"SEER-Explorer reference, not a screened study"
333,Keegan2010_CCR,aggregate-vs-NHW,Hispanic,California-CCR,3,1988-2004,computed-from-rates-with-CI,0.623,0.616,0.630,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
100,Liu2012_LACounty,aggregate-vs-NHW,Hispanic,California-CCR: LA County,2,2007,directly-reported-rate,0.532,,,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
12,Zhang2025_USCS_female,aggregate-vs-NHW,Hispanic,Other/unspecified,1,2017-2021,directly-reported-IRR,0.73,0.72,0.73,aggregate-vs-NHW | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,disaggregated-AANHPI,Asian American (aggregate),SEER-national,6,2018-2022,computed-from-rates-with-CI,0.792,0.784,0.800,disaggregated-AANHPI | Asian American (aggregate) | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Asian Indian/Pakistani,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.958,0.937,0.979,disaggregated-AANHPI | Asian Indian/Pakistani | national,yes (representative),best of 2 in cell by provenance/coverage/period
955,Goggins2009,disaggregated-AANHPI,Asian Indian/Pakistani,SEER-national,6,1988-2004,directly-reported-SIR,0.61,0.56,0.66,disaggregated-AANHPI | Asian Indian/Pakistani | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
3267,Kem2007,disaggregated-AANHPI,Cambodian,California-CCR,3,1998-2002,computed-from-rates-Poisson-SE,0.264,0.204,0.341,disaggregated-AANHPI | Cambodian | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Chinese,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.760,0.745,0.775,disaggregated-AANHPI | Chinese | national,yes (representative),best of 4 in cell by provenance/coverage/period
4098,McCracken2007_CCR,disaggregated-AANHPI,Chinese,California-CCR,3,2000-2002,computed-from-rates,0.491,,,disaggregated-AANHPI | Chinese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
100,Liu2012_LACounty,disaggregated-AANHPI,Chinese,California-CCR: LA County,2,2007,directly-reported-rate,0.575,,,disaggregated-AANHPI | Chinese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
463,Keegan2007_GBACR,disaggregated-AANHPI,Chinese,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | Chinese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,disaggregated-AANHPI,Filipina,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.857,0.839,0.874,disaggregated-AANHPI | Filipina | national,yes (representative),best of 3 in cell by provenance/coverage/period
4098,McCracken2007_CCR,disaggregated-AANHPI,Filipina,California-CCR,3,2000-2002,computed-from-rates,0.670,,,disaggregated-AANHPI | Filipina | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
463,Keegan2007_GBACR,disaggregated-AANHPI,Filipina,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | Filipina | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
324,Gomez2017_CCR,disaggregated-AANHPI,Filipino (young),California-CCR,3,2009-2013,directly-reported-IRR,0.95,0.90,1.01,disaggregated-AANHPI | Filipino (young) | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Guamanian/Chamorro/Samoan,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.723,0.641,0.817,disaggregated-AANHPI | Guamanian/Chamorro/Samoan | national,yes (representative),sole estimate in cell
49,Mills2005,disaggregated-AANHPI,Hmong,California-CCR,3,Hmong 1988-2000 / NHW 1995-1999,computed-from-rates-Poisson-SE,0.164,0.120,0.224,disaggregated-AANHPI | Hmong | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Japanese,SEER-national,6,2018-2022,computed-from-rates-with-CI,1.045,1.009,1.083,disaggregated-AANHPI | Japanese | national,yes (representative),best of 3 in cell by provenance/coverage/period
4098,McCracken2007_CCR,disaggregated-AANHPI,Japanese,California-CCR,3,2000-2002,computed-from-rates,0.672,,,disaggregated-AANHPI | Japanese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
463,Keegan2007_GBACR,disaggregated-AANHPI,Japanese,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | Japanese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
324,Gomez2017_CCR,disaggregated-AANHPI,Japanese (young),California-CCR,3,2009-2013,directly-reported-IRR,1.02,0.91,1.14,disaggregated-AANHPI | Japanese (young) | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Korean,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.677,0.654,0.701,disaggregated-AANHPI | Korean | national,yes (representative),best of 5 in cell by provenance/coverage/period
3398,Gomez2003_SEERplusCCR,disaggregated-AANHPI,Korean,California-CCR,3,1988-1992,computed-from-rates-with-CI,0.254,0.224,0.288,disaggregated-AANHPI | Korean | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
4098,McCracken2007_CCR,disaggregated-AANHPI,Korean,California-CCR,3,2000-2002,computed-from-rates,0.332,,,disaggregated-AANHPI | Korean | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
100,Liu2012_LACounty,disaggregated-AANHPI,Korean,California-CCR: LA County,2,2007,directly-reported-rate,0.558,,,disaggregated-AANHPI | Korean | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
463,Keegan2007_GBACR,disaggregated-AANHPI,Korean,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | Korean | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,disaggregated-AANHPI,Laotian/Kampuchean,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.388,0.350,0.430,disaggregated-AANHPI | Laotian/Kampuchean | national,yes (representative),sole estimate in cell
4040,Miller2008_NAACCR-API,disaggregated-AANHPI,Native Hawaiian,NAACCR/CiNA (~93%),8,1998-2002,computed-from-rates-with-CI,1.211,1.123,1.305,disaggregated-AANHPI | Native Hawaiian | national,yes (representative),best of 2 in cell by provenance/coverage/period
234,Gomez2026_SEER21,disaggregated-AANHPI,Native Hawaiian,SEER-national,6,2018-2022,computed-from-rates-with-CI,1.270,1.213,1.330,disaggregated-AANHPI | Native Hawaiian | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,disaggregated-AANHPI,Native Hawaiian/PI (aggregate),SEER-national,6,2018-2022,computed-from-rates-with-CI,1.212,1.168,1.258,disaggregated-AANHPI | Native Hawaiian/PI (aggregate) | national,yes (representative),sole estimate in cell
463,Keegan2007_GBACR,disaggregated-AANHPI,South Asian,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | South Asian | national,yes (representative),sole estimate in cell
234,Gomez2026_SEER21,disaggregated-AANHPI,Vietnamese,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.586,0.566,0.608,disaggregated-AANHPI | Vietnamese | national,yes (representative),best of 3 in cell by provenance/coverage/period
4098,McCracken2007_CCR,disaggregated-AANHPI,Vietnamese,California-CCR,3,2000-2002,computed-from-rates,0.363,,,disaggregated-AANHPI | Vietnamese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
463,Keegan2007_GBACR,disaggregated-AANHPI,Vietnamese,California-CCR: Greater Bay Area,2,1990-2002,directly-reported-rate,,,,disaggregated-AANHPI | Vietnamese | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
587,Nasseri2009,disaggregated-MENA,Middle Eastern,California-CCR,3,1988-2004,directly-reported-IRR,0.86,0.84,0.88,disaggregated-MENA | Middle Eastern | national,yes (representative),sole estimate in cell
2406,Sung2020_USCS50,male-BC,Black (men),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,1.52,1.44,1.6,male-BC | Black (men) | national,yes (representative),sole estimate in cell
2406,Sung2020_USCS50,male-BC-HRneg-HER2pos,Black (men),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,2.62,1.48,4.43,male-BC-HRneg-HER2pos | Black (men) | national,yes (representative),sole estimate in cell
2406,Sung2020_USCS50,male-BC-HRpos-HER2neg,Black (men),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,1.41,1.32,1.5,male-BC-HRpos-HER2neg | Black (men) | national,yes (representative),sole estimate in cell
2406,Sung2020_USCS50,male-BC-HRpos-HER2pos,Black (men),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,1.65,1.4,1.93,male-BC-HRpos-HER2pos | Black (men) | national,yes (representative),sole estimate in cell
2406,Sung2020_USCS50,male-BC-TNBC,Black (men),USCS(NPCR+SEER ~99%),9,2011-2015,directly-reported-IRR,2.27,1.67,3.03,male-BC-TNBC | Black (men) | national,yes (representative),sole estimate in cell
236,Gomez2010_CCR,nativity,Chinese (US-born),California-CCR,3,1988-2004,directly-reported-IRR,1.84,1.72,1.96,nativity | Chinese (US-born) | national,yes (representative),sole estimate in cell
236,Gomez2010_CCR,nativity,Filipina (US-born),California-CCR,3,1988-2004,directly-reported-IRR,1.32,1.2,1.44,nativity | Filipina (US-born) | national,yes (representative),sole estimate in cell
200,Gleason2012_SEER,subtype-ERneg-PRpos,Black,SEER-national,6,2004-2008,computed-from-rates-with-CI,1.459,1.267,1.679,subtype-ERneg-PRpos | Black | national,yes (representative),sole estimate in cell
200,Gleason2012_SEER,subtype-ERpos-PRneg,Black,SEER-national,6,2004-2008,computed-from-rates-with-CI,0.974,0.925,1.027,subtype-ERpos-PRneg | Black | national,yes (representative),sole estimate in cell
10,Davis Lynn2025_SEER17,subtype-HRneg,Black,SEER-national,6,2013-2015,computed-from-rates-with-CI,1.796,1.740,1.853,subtype-HRneg | Black | national,yes (representative),best of 2 in cell by provenance/coverage/period
200,Gleason2012_SEER,subtype-HRneg,Black,SEER-national,6,2004-2008,computed-from-rates-with-CI,1.600,1.548,1.652,subtype-HRneg | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
324,Gomez2017_CCR,subtype-HRneg-HER2pos,Asian-American combined,California-CCR,3,2009-2013,directly-reported-IRR,1.21,1.12,1.30,subtype-HRneg-HER2pos | Asian-American combined | national,yes (representative),sole estimate in cell
286,Kong2020_SEER18,subtype-HRneg-HER2pos,Asian/PI (aggregate),SEER-national,6,2010-2015,directly-reported-IRR,1.41,1.33,1.49,subtype-HRneg-HER2pos | Asian/PI (aggregate) | national,yes (representative),sole estimate in cell
286,Kong2020_SEER18,subtype-HRneg-HER2pos,Black,SEER-national,6,2010-2015,directly-reported-IRR,1.46,1.38,1.54,subtype-HRneg-HER2pos | Black | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRneg-HER2pos,Japanese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.88,0.82,0.95,subtype-HRneg-HER2pos | Japanese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRneg-HER2pos,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,1.19,1.16,1.21,subtype-HRneg-HER2pos | Native Hawaiian | national,yes (representative),sole estimate in cell
10,Davis Lynn2025_SEER17,subtype-HRpos,Black,SEER-national,6,2013-2015,computed-from-rates-with-CI,0.820,0.805,0.836,subtype-HRpos | Black | national,yes (representative),best of 2 in cell by provenance/coverage/period
200,Gleason2012_SEER,subtype-HRpos,Black,SEER-national,6,2004-2008,computed-from-rates-with-CI,0.703,0.685,0.722,subtype-HRpos | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
2,Howlader2014_SEER18,subtype-HRpos-HER2neg,Asian/PI (aggregate),SEER-national,6,2010,computed-from-rates-with-CI,0.689,0.662,0.717,subtype-HRpos-HER2neg | Asian/PI (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-HRpos-HER2neg,Asian/PI (aggregate),SEER-national,6,2010-2015,directly-reported-IRR,0.87,0.85,0.88,subtype-HRpos-HER2neg | Asian/PI (aggregate) | national,yes (representative),best of 2 in cell by provenance/coverage/period
2,Howlader2014_SEER18,subtype-HRpos-HER2neg,Black,SEER-national,6,2010,computed-from-rates-with-CI,0.739,0.712,0.768,subtype-HRpos-HER2neg | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-HRpos-HER2neg,Black,SEER-national,6,2010-2015,directly-reported-IRR,0.86,0.84,0.87,subtype-HRpos-HER2neg | Black | national,yes (representative),best of 3 in cell by provenance/coverage/period
381,Lund2010_AtlantaSEER,subtype-HRpos-HER2neg,Black,SEER-national,6,2003-2004,computed-from-rates,0.783,,,subtype-HRpos-HER2neg | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
