record_id,year,series,title,doi,doi_url,pmid,pubmed_url
200,2012,PRIMARY,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses,10.1371/journal.pone.0049359,https://doi.org/10.1371/journal.pone.0049359,23166647,https://pubmed.ncbi.nlm.nih.gov/23166647/
203,2008,PRIMARY,Recent trends in breast cancer among younger women in the United States,10.1093/jnci/djn344,https://doi.org/10.1093/jnci/djn344,19001605,https://pubmed.ncbi.nlm.nih.gov/19001605/
205,2011,PRIMARY,Breast cancer incidence rates in U.S. women re no longer declining,10.1158/1055-9965.epi-11-0061,https://doi.org/10.1158/1055-9965.epi-11-0061,21357727,https://pubmed.ncbi.nlm.nih.gov/21357727/
207,2013,PRIMARY,"Cancer incidence trends among native hawaiians and other pacific islanders in the united states, 1990-2008",10.1093/jnci/djt156,https://doi.org/10.1093/jnci/djt156,23878354,https://pubmed.ncbi.nlm.nih.gov/23878354/
209,2022,PRIMARY,Racial and regional disparities of triple negative breast cancer incidence rates in the United States: An analysis of 2011-2019 NPCR and SEER incidence data,10.3389/fpubh.2022.1058722,https://doi.org/10.3389/fpubh.2022.1058722,36530732,https://pubmed.ncbi.nlm.nih.gov/36530732/
210,2022,PRIMARY,"Breast cancer incidence trends in Asian women aged 20 or older as compared to other ethnic women in the United States from 2000 to 2018 by time period, age and tumor stage",10.1016/j.canep.2021.102076,https://doi.org/10.1016/j.canep.2021.102076,34861613,https://pubmed.ncbi.nlm.nih.gov/34861613/
226,2022,PRIMARY,"Home mortgage discrimination and incidence of triple-negative and Luminal A breast cancer among non-Hispanic Black and non-Hispanic White females in California, 2006–2015",10.1007/s10552-022-01557-y,https://doi.org/10.1007/s10552-022-01557-y,35113296,https://pubmed.ncbi.nlm.nih.gov/35113296/
234,2026,PRIMARY,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022",10.1001/jamanetworkopen.2026.21250,https://doi.org/10.1001/jamanetworkopen.2026.21250,42377954,https://pubmed.ncbi.nlm.nih.gov/42377954/
235,2020,ARN,"Annual report to the nation on the status of cancer, part I: National cancer statistics",10.1002/cncr.32802,https://doi.org/10.1002/cncr.32802,32162336,https://pubmed.ncbi.nlm.nih.gov/32162336/
236,2010,PRIMARY,Hidden breast cancer disparities in Asian women: disaggregating incidence rates by ethnicity and migrant status.,,,20147696,https://pubmed.ncbi.nlm.nih.gov/20147696/
238,2004,PRIMARY,"Patterns in cancer incidence among American Indians/Alaska Natives, United States, 1992-1999",10.1016/j.phr.2004.05.009,https://doi.org/10.1016/j.phr.2004.05.009,15219802,https://pubmed.ncbi.nlm.nih.gov/15219802/
246,2010,PRIMARY,Does socioeconomic disparity in cancer incidence vary across racial/ethnic groups?,10.1007/s10552-010-9601-y,https://doi.org/10.1007/s10552-010-9601-y,20567897,https://pubmed.ncbi.nlm.nih.gov/20567897/
251,2021,PRIMARY,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors",10.1007/s12282-020-01132-w,https://doi.org/10.1007/s12282-020-01132-w,32671723,https://pubmed.ncbi.nlm.nih.gov/32671723/
252,2020,PRIMARY,Forty-year trends in menopausal hormone therapy use and breast cancer incidence  among postmenopausal black and white women,10.1002/cncr.32846,https://doi.org/10.1002/cncr.32846,32212335,https://pubmed.ncbi.nlm.nih.gov/32212335/
